word,definition
absurd,so silly that it doesn't make sense
alarm,"a sudden feeling of fear, or a device that makes a warning sound"
alphabet,the set of letters used to write a language
anchor,a heavy hook that keeps a boat from drifting
ancient,"very old, from long ago"
anxious,feeling worried or nervous
area,a particular part of a place or space
ashamed,feeling bad about something you did
athlete,a person who is skilled at sport
autumn,the season between summer and winter when leaves fall
barbecue,cooking food over an open flame outdoors
bewildered,very confused
billabong,a pool of water left behind when a river changes course
blanket,a warm cover used on a bed
booklet,a small thin book
brittle,hard but easily broken or snapped
bubble,a small ball of air inside liquid
bunyip,a mythical creature said to live in swamps and billabongs
bushfire,an out-of-control fire burning through bush or forest
cabin,"a small simple house, often made of wood"
calculator,a small device used to work out sums
calendar,"a chart showing the days, weeks and months"
camouflage,colouring or patterns that help an animal hide
castle,"a large stone building with towers, built for a king or lord"
caterpillar,the wriggly larva that turns into a butterfly
cathedral,a very large and important church
cautious,careful to avoid danger
century,a period of one hundred years
champion,the winner of a competition
character,"a person in a story, or someone's personality"
chemist,"a shop that sells medicine, or a scientist who studies chemicals"
china,fine dishes and cups made from a hard white clay
chorus,"the part of a song that repeats, or a group of singers"
clear,"easy to see through, or free from clutter"
cocoon,a silky case an insect makes to change into an adult
collapse,to fall down suddenly
column,a tall upright post that holds up a building
comb,a tool with teeth used to tidy your hair
compass,a tool that shows which direction is north
confident,sure of yourself and your abilities
cottage,"a small cosy house, often in the country"
courageous,"brave, willing to face danger"
crate,a large box used to carry or store things
crevice,"a narrow crack or gap, especially in rock"
curious,eager to learn or find out about something
dance,to move your body in time to music
decade,a period of ten years
dessert,a sweet food eaten after a meal
diameter,the distance straight across a circle
dictionary,a book that lists words and their meanings
dissolve,to mix completely into a liquid
dolphin,"a smart, friendly sea mammal that swims in pods"
dragon,a huge fire-breathing creature in stories
dreadful,very bad or unpleasant
drenched,completely soaked with water
drive,to control a car and make it go
drought,a long period with little or no rain
drowsy,feeling sleepy and wanting to rest
earthquake,a sudden shaking of the ground
echidna,a spiky Australian animal that lays eggs
effigy,a model or statue made to look like a person
embarrassed,feeling shy or awkward in front of others
energy,the power needed to make something work or move
enormous,extremely large
envelope,a paper cover used to post a letter
evaporate,to change from a liquid into a gas
exotic,unusual and interesting because it comes from a faraway place
experiment,a test done to find something out
flimsy,"thin, weak and easily damaged"
floret,"a tiny flower, often one of many in a cluster"
fortnight,a period of two weeks
fortunate,lucky
furious,extremely angry
galore,in great numbers or amounts
gargoyle,a stone carving of a strange creature on an old building
generous,happy to give and share
gigantic,extremely huge
giggle,to laugh in a light silly way
gloomy,"dark and dull, or sad"
gnome,"a small magical creature in stories, often with a pointy hat"
goblin,"a small, mischievous creature in stories"
grateful,thankful for something
gravity,the force that pulls things down towards the ground
haggard,looking tired and worn out
hammer,a tool used to hit nails
harbour,a sheltered area of water where boats are kept safe
heir,a person who will receive someone's money or title when they die
hesitate,to pause because you are unsure
hibernate,to sleep through the whole winter
honest,truthful and not lying or cheating
hook,a curved piece of metal or plastic for hanging or catching things
horizon,the line where the sky seems to meet the land or sea
hour,sixty minutes
immune,protected from catching a disease
ingredient,one of the foods used to make a dish
island,a piece of land surrounded by water
jealous,wanting what someone else has
jetty,a narrow platform sticking out into water
jubilant,"full of joy, especially after winning"
kangaroo,an Australian animal that hops on strong back legs
knot,a fastening made by tying rope or string together
knuckle,a joint in your finger
kookaburra,an Australian bird known for its laughing call
ladder,a set of rungs used to climb up or down
lantern,"a lamp with a case, often carried by hand"
lava,hot melted rock that flows from a volcano
lightning,a bright flash of light in a storm
listen,to pay attention to a sound
