word,definition
February,the second month of the year
abandoned,left behind and no longer cared for
absolutely,completely or without any doubt
access,the ability to enter or reach something
acknowledge,to accept or admit that something is true
actually,in fact, contrary to what might be expected
adjusted,changed slightly to fit new conditions
advantage,a factor that gives someone a better chance of success
affect,to have an influence on something
agencies,organisations that provide a particular service
agreeable,pleasant or willing to cooperate
alien,strange or unfamiliar, or a being from another planet
allergic,having a bad physical reaction to a particular substance
amuse,to make someone laugh or feel entertained
annual,happening once every year
answer,a reply given to a question
area,a particular part of a place or a measured space
assess,to judge the value or quality of something
attachment,a file joined to an email, or a strong feeling of affection
attempt,an effort made to do something
attention,careful focus or notice given to something
attractive,pleasing to look at or appealing
auction,a public sale where items go to the highest bidder
author,a person who writes a book or other piece of writing
autograph,a famous person's signature written by hand
awesome,causing feelings of great admiration or wonder
barely,only just, almost not
beautiful,very pleasing to the senses
behaviours,the ways a person or animal acts
benefit,an advantage or helpful result gained from something
beware,to be cautious about a possible danger
bough,a large branch of a tree
boulder,a large rock, usually rounded by weathering
boundary,a line that marks the limit of an area
brake,a device used to slow or stop a vehicle
break,to separate into pieces, or a pause from work
breathless,gasping for air or unable to breathe easily
brethren,an old-fashioned term for brothers or fellow members of a group
brief,lasting only a short time
burglar,a person who breaks into a building to steal
business,an organisation that buys and sells goods or services
calm,free from anxiety, excitement or disturbance
carriage,a section of a train, or a horse-drawn vehicle
category,a group of things sharing similar characteristics
celebration,an event held to mark a special occasion
certain,sure or confident about something
character,the qualities that make up a person, or a figure in a story
cheques,printed forms used to order a bank to pay money
chocolate,a sweet food made from roasted cacao beans
circuit,a path that electricity flows around, or a circular route
college,an institution for higher education after secondary school
community,a group of people living in the same area or sharing interests
competition,an event in which people compete against each other
complaining,expressing dissatisfaction or annoyance about something
complete,having all necessary parts, or to finish something
concerned,worried or troubled about something
confidence,a feeling of trust in one's own abilities
consider,to think carefully about something
considerate,thoughtful about the feelings and needs of others
continued,kept going without stopping
contraptions,unusual or complicated devices or machines
convince,to persuade someone that something is true
coordinator,a person who organises the different parts of an activity
corpses,dead bodies
creature,a living being, especially an animal
crevice,a narrow crack or opening, especially in rock
criminal,relating to crime, or a person who commits a crime
crystal,a clear, solid mineral with a regular geometric shape
curious,eager to learn or know about something
damage,harm that reduces the value or usefulness of something
dangerous,likely to cause harm or injury
decided,made a firm choice about something
decision,a choice made after thinking about the options
decorate,to make something look more attractive by adding features
defence,the act of protecting against attack or criticism
delicious,having a very pleasant taste or smell
demolished,destroyed completely, usually a building
demonstrate,to show clearly how something works or is done
depot,a place where vehicles or goods are stored
depression,a state of low mood, or an economic downturn
deprived,prevented from having something needed or wanted
deserts,large, dry areas of land with little rainfall
designed,planned and created for a particular purpose
dessert,a sweet course eaten at the end of a meal
detective,someone who investigates crimes to solve mysteries
digest,to break down food in the stomach and gut
disappear,to vanish or go out of sight
disappointed,feeling let down when something doesn't meet expectations
discover,to find something for the first time
drawer,a sliding storage compartment in a piece of furniture
drought,a long period with little or no rainfall
dye,a substance used to change the colour of something
easiest,requiring the least effort of all
edible,safe and suitable to eat
educational,helping people learn something useful
eerie,strange and frightening in a mysterious way
effect,a result caused by something else
effective,producing the result that was intended
emerged,came out from a hidden or enclosed place
endangered,at risk of dying out completely
energy,the power needed to do work or cause movement
engage,to involve someone's interest or attention
engine,a machine that converts fuel into motion
enjoyable,giving pleasure or satisfaction
enormous,extremely large in size
ensure,to make certain that something happens
episode,a single instalment of a TV or radio series
especially,more than usual or more than others
exciting,causing great enthusiasm or eagerness
exert,to apply effort or force to achieve something
expensive,costing a lot of money
experience,knowledge or skill gained from doing something
explosion,a sudden violent burst, often with a loud noise
extremely,to a very great degree
famous,known widely by many people
favourite,liked more than any other
features,distinctive parts or qualities of something
fellowship,a friendly association between people who share interests
fete,an outdoor event with stalls, games, and entertainment
fibre,a thread-like strand, or roughage found in plant food
fiction,writing about imaginary people and events
field,an open area of land, often used for farming or sport
fierce,showing intense, aggressive energy
formal,following accepted rules and conventions, often for serious occasions
formation,the way something is arranged or shaped
fractures,cracks or breaks, especially in a bone
fragile,easily broken or damaged
frenzied,wild and uncontrolled, done in a hurried panic
frightened,feeling fear or alarm
furniture,movable objects like tables and chairs that fit out a room
further,to a greater degree or distance
galaxy,a huge system of stars, planets, and gas held together by gravity
generation,a group of people born around the same time
gesture,a movement of the body that expresses an idea or feeling
gigantic,extraordinarily large
glacier,a huge, slow-moving mass of ice
global,relating to the whole world
gnawed,bit or chewed persistently on something
goblet,a drinking cup with a stem and base, without a handle
government,the group of people who officially govern a country or state
graphics,visual images or designs, especially on a screen or in print
grumble,to complain in a low, discontented voice
guess,to estimate or suppose something without being certain
hammock,a hanging bed made of fabric or netting slung between two points
haphazard,done without any clear plan or order
haste,excessive speed or urgency of action
haul,to pull or carry something with effort
healthy,in good physical or mental condition
heir,a person legally entitled to inherit property or a title
herd,a large group of animals that live or feed together
hesitated,paused briefly before doing or saying something
hilarious,extremely funny
history,the study of past events
hoarse,having a rough, croaky voice
honest,truthful and sincere
horrified,filled with shock and dismay
hostile,unfriendly and ready for conflict
illegal,against the law
imagination,the ability to form new ideas or pictures in the mind
imaginative,showing creativity and original ideas
