word,definition
adjacent,next to or adjoining something else
adversary,an opponent or enemy in a contest or dispute
aesthetic,concerned with beauty or the appreciation of beauty
aficionado,a person who is very knowledgeable and enthusiastic about a particular activity or subject
allegiance,"loyalty or commitment to a person, group, or cause"
altercation,a noisy argument or disagreement
amateur,a person who engages in an activity for pleasure rather than as a profession
anecdote,"a short, amusing or interesting story about a real incident or person"
animosity,strong hostility or dislike
antibiotic,a medicine that inhibits the growth of or destroys bacteria
aplomb,"self-confidence or assurance, especially in a demanding situation"
aquarium,a tank or building housing water creatures for public display
archipelago,a group of islands
armistice,an agreement made by opposing sides to stop fighting
artisan,a skilled worker who makes things by hand
astute,having or showing an ability to accurately assess situations; shrewd
auspicious,conducive to success; favourable
authentic,genuine; of undisputed origin
avalanche,"a mass of snow, ice, and rock falling rapidly down a mountainside"
azalea,"a flowering shrub of the rhododendron family, popular in gardens"
beleaguered,under siege or beset by difficulties
bequeath,to leave property or money to someone in a will; to pass something on to a successor
braggadocio,boastful or arrogant behaviour
brouhaha,a noisy and overexcited reaction or response to something; an uproar
caballero,a Spanish gentleman or horseman
cacophony,"a harsh, discordant mixture of sounds"
calligraphy,"the art of decorative, stylised handwriting"
camaraderie,mutual trust and friendship among people who spend a lot of time together
catastrophe,an event causing great and often sudden damage or suffering
cemetery,"a burial ground, especially one not attached to a church"
centenary,the hundredth anniversary of a significant event
cerebral,"relating to the brain, or intellectual rather than emotional"
chaos,complete disorder and confusion
chicanery,"the use of trickery to achieve a political, financial, or legal purpose"
chivalry,"courteous and honourable conduct, especially toward others"
chrysalis,the hard casing around a butterfly or moth pupa
chrysanthemum,"a garden plant with brightly coloured, often ruffled flowers, popular in autumn"
circumference,the distance around the edge of a circle or circular object
claustrophobia,an extreme or irrational fear of confined spaces
coincidence,a remarkable occurrence of events happening at the same time by chance
compassion,sympathetic concern for the suffering of others
concussion,a temporary loss of normal brain function caused by a blow to the head
condolence,"an expression of sympathy, especially on the occasion of a death"
connoisseur,"an expert judge in matters of taste, especially in the arts or food"
consecutive,following one after another without interruption
contagious,spread from one person or organism to another by contact
contemporary,"belonging to or occurring in the present, or living at the same time as another"
controversy,prolonged public disagreement or heated discussion
cormorant,a large diving seabird with dark plumage and a long neck
cosmopolitan,including people from many different countries; sophisticated and worldly
curriculum,the subjects and content taught in a school or course
debacle,a sudden and ignominious failure; a fiasco
decrepit,worn out or ruined because of age or neglect
deficiency,a lack or shortage of something required
demagogue,a political leader who seeks support by appealing to popular desires and prejudices rather than reason
demeanour,"outward behaviour or manner, especially as an indication of character"
despicable,deserving hatred and contempt
diagnosis,the identification of the nature of an illness or problem
dialect,a particular form of a language specific to a region or social group
diameter,the length of a straight line passing through the centre of a circle
diaspora,the dispersion of a people from their original homeland to other parts of the world
didactic,"intended to teach or instruct, often in a moralising way"
diligent,showing care and effort in one's work or duties
disengage,"to release or detach something, or to withdraw from involvement"
dishevelled,"untidy, particularly of hair or clothing"
disparity,a great difference between two or more things
dissect,"to cut apart methodically for study, or to analyse something in detail"
divulge,to make known private or sensitive information
doldrums,"a state of listlessness, stagnation, or mild depression"
doleful,sad and mournful in appearance or sound
domesticate,to tame an animal or adapt a plant for human use
doppelganger,an apparition or double of a living person; someone who looks remarkably like another
dubious,hesitant or doubting; of questionable value or truth
eccentric,unconventional or slightly strange in behaviour or appearance
eclipse,an event in which one celestial body obscures another
ecosystem,a biological community of interacting organisms and their environment
effeminate,"having qualities or characteristics traditionally associated with women, used of a man"
eloquent,fluent and persuasive in speaking or writing
emancipate,"to free someone from legal, social, or political restrictions"
embargo,an official ban on trade or other commercial activity with a country
eminent,famous and respected within a particular field
empathy,the ability to understand and share the feelings of another
endemic,regularly found in a particular place or among a particular group of people
enigma,a person or thing that is mysterious or difficult to understand
entrepreneur,"a person who sets up and runs a business, taking on financial risk"
epidemic,a widespread occurrence of an infectious disease in a community
epitome,a person or thing that is a perfect example of a particular quality or type
equilibrium,a state of balance between opposing forces or influences
equinox,either of the two times a year when day and night are of equal length
