word,definition
alacrity,cheerful willingness or speed
alibi,proof that someone was somewhere else when a crime happened
already,by this time; before now
although,despite the fact that
ambitious,having a strong desire to succeed
ample,more than enough
anxious,worried or nervous about something
applause,clapping to show approval
appreciate,to be grateful for something, or to understand its value
argument,a disagreement, or a reason given to support an idea
avarice,an extreme greed for wealth
awkward,clumsy or causing embarrassment
balance,to stay steady without falling, or an even distribution
ballot,a system of voting, usually by paper
banquet,a large formal meal for a special occasion
barrier,something that blocks the way or separates
battalion,a large group of soldiers
beneath,below or underneath
benefit,an advantage or helpful result
biscuit,a small, flat baked snack
bizarre,very strange or unusual
blossom,a flower, especially on a fruit tree, or to develop well
bravado,a bold, showy display of confidence, often to hide fear
brocade,a rich fabric woven with a raised pattern, often in gold or silver thread
bruise,a dark mark on skin caused by a knock
calendar,a chart showing the days, weeks and months of the year
campaign,a planned series of actions to achieve a goal
capable,able to do something well
caprice,a sudden, unpredictable change of mind
capture,to catch or take hold of something
cashier,a person who handles payments in a shop
cautious,careful to avoid danger or mistakes
ceiling,the inside surface of the top of a room
cemetery,a place where the dead are buried
character,a person in a story, or someone's personality
cheetah,a large, fast spotted wild cat
chimney,a pipe that carries smoke from a fire out of a building
chivalry,courteous and honourable behaviour, especially towards others
cinnamon,a spice made from tree bark
circuit,a circular path, or a complete electrical loop
colleague,a person you work with
column,a tall pillar, or a section of writing in a newspaper
comfortable,relaxed and free from pain or worry
committee,a group of people chosen to organise or decide something
conceal,to hide something
confident,sure of yourself and your abilities
connoisseur,a person with expert knowledge or taste in a particular field
conscience,an inner sense of right and wrong
conscious,awake and aware of what is happening
continent,one of the world's large landmasses
corroboree,an Aboriginal ceremonial gathering with dance and song
courageous,brave, especially in a difficult situation
courteous,polite and considerate
crawl,to move slowly on hands and knees
crescent,a curved shape like a new moon
cupidity,a strong, greedy desire for money or possessions
curiosity,a strong desire to know or learn something
debris,scattered pieces of rubbish or wreckage
decision,a choice made after thinking something over
definite,certain and clearly decided
delicious,very pleasant to taste
desperate,feeling or showing a hopeless urgency
destination,the place someone is travelling to
determine,to decide firmly, or to find out exactly
develop,to grow or change gradually, or to create something new
diamond,a hard, clear precious stone
didgeridoo,a long wooden wind instrument traditionally played by Aboriginal Australians
disappear,to vanish or go out of sight
disaster,a sudden event that causes great damage or suffering
discipline,training that produces self-control, or a field of study
disguise,to change your appearance to hide who you are
distance,the amount of space between two places
drought,a long period of little or no rain
duplicity,deceitfulness; saying one thing and doing another
echo,a sound that repeats as it bounces off a surface
eerie,strange and frightening in a quiet way
effigy,a model or image of a person, sometimes burned in protest
eighth,next after seventh
embarrass,to make someone feel awkward or ashamed
emergency,a sudden, serious situation needing quick action
enigma,something mysterious or difficult to understand
ennui,a feeling of boredom and dissatisfaction
enormous,extremely large
enthusiasm,eager interest or excitement
entourage,a group of people who accompany an important person
environment,the natural world, or the surroundings of a place
equator,the imaginary line around the middle of the Earth
especially,more than usual, or particularly
essential,absolutely necessary
exaggerate,to make something seem bigger or more extreme than it is
examine,to look at something closely and carefully
excellent,extremely good
exhausted,extremely tired
expedite,to make a process happen faster
experience,something that happens to you, or practical knowledge gained over time
explanation,a statement that makes something clear
extraordinary,very unusual or remarkable
facade,the front of a building, or a false appearance
familiar,well known or easily recognised
fascinate,to attract and hold someone's interest deeply
favourite,liked more than any other
fiasco,a complete and embarrassing failure
fierce,violent, intense or aggressive
fjord,a long, narrow inlet of sea between steep cliffs
foreign,belonging to or from another country
fortunate,lucky
fragile,easily broken or damaged
frequent,happening often
fulfil,to carry out or achieve something, such as a promise or dream
furious,extremely angry
galleon,a large sailing ship used in past centuries, often for trade or war
gauge,to measure or estimate, or an instrument for measuring
generous,willing to give freely
genuine,real and authentic, not fake
gigantic,extremely large
glisten,to shine with a sparkling light
gondola,a long, narrow boat used on the canals of Venice
government,the group of people who officially run a country or state
gradually,happening slowly over time
grammar,the rules for how words are used in a language
guarantee,a firm promise that something will happen or be true
guardian,a person who protects or looks after someone
guidance,helpful advice or direction
guile,clever and cunning deception
harbour,a sheltered area of water where ships can dock, or to keep a feeling secretly
hazard,a danger or risk
hesitate,to pause because of uncertainty
homage,a show of respect or honour
humour,the quality of being funny, or a sense of fun
hygiene,practices that keep you clean and healthy
immediate,happening or done at once
incognito,keeping one's identity secret
indolence,laziness; a dislike of activity or effort
innocent,not guilty of a crime, or free from harm
insolent,rude and disrespectful
instant,happening immediately, or a very short moment in time
interrupt,to break in on someone speaking or something happening
